Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Mangaldai,Manoj Roy,Asom Gana Parishad,12508,126,12634,7.34,172024,12634,60003,False
Mangaldai,Rahul Menon,All India United Democratic Front,5011,50,5061,2.94,172024,5061,60003,False
Mangaldai,Sunil Singh,Independent,4103,41,4144,2.41,172024,4144,60003,False
Dalgaon,Amit Roy,All India United Democratic Front,82532,833,83365,40.2,207350,83365,83365,True
Dalgaon,Sunil Kumar,Indian National Congress,21258,214,21472,10.36,207350,21472,83365,False
Dalgaon,Amit Roy,Bharatiya Janata Party,14407,145,14552,7.02,207350,14552,83365,False
Dalgaon,Sanjay Patel,None of the Above,5316,53,5369,2.59,207350,5369,83365,False
Dalgaon,Sunil Bora,Independent,4063,41,4104,1.98,207350,4104,83365,False
Dalgaon,Rahul Sharma,Asom Gana Parishad,2681,27,2708,1.31,207350,2708,83365,False
Jagiroad,Anjali Patel,Asom Gana Parishad,50166,506,50672,33.08,153179,50672,50672,True
Jagiroad,Deepa Roy,Indian National Congress,42564,429,42993,28.07,153179,42993,50672,False
Jagiroad,Anjali Gogoi,None of the Above,18837,190,19027,12.42,153179,19027,50672,False
Jagiroad,Anjali Roy,Bharatiya Janata Party,12394,125,12519,8.17,153179,12519,50672,False
Jagiroad,Sanjay Das,All India United Democratic Front,7384,74,7458,4.87,153179,7458,50672,False
Jagiroad,Deepa Bora,Independent,1363,13,1376,0.9,153179,1376,50672,False
Laharighat,Amit Singh,Indian National Congress,55290,558,55848,33.86,164924,55848,55848,True
Laharighat,Deepa Sharma,Asom Gana Parishad,23135,233,23368,14.17,164924,23368,55848,False
Laharighat,Anjali Das,Bharatiya Janata Party,16487,166,16653,10.1,164924,16653,55848,False
Laharighat,Anita Singh,All India United Democratic Front,12383,125,12508,7.58,164924,12508,55848,False
Laharighat,Amit Sen,Independent,3913,39,3952,2.4,164924,3952,55848,False
Laharighat,Priya Patel,None of the Above,2130,21,2151,1.3,164924,2151,55848,False
Morigaon,Suresh Reddy,Bharatiya Janata Party,92733,936,93669,42.33,221283,93669,93669,True
Morigaon,Amit Gogoi,Indian National Congress,24197,244,24441,11.05,221283,24441,93669,False
Morigaon,Deepa Singh,None of the Above,21086,212,21298,9.62,221283,21298,93669,False
Morigaon,Deepa Kumar,All India United Democratic Front,19601,197,19798,8.95,221283,19798,93669,False
Morigaon,Sanjay Bora,Asom Gana Parishad,6932,70,7002,3.16,221283,7002,93669,False
Morigaon,Sanjay Nair,Independent,4511,45,4556,2.06,221283,4556,93669,False
Dhing,Ramesh Roy,Bharatiya Janata Party,78171,789,78960,43.42,181842,78960,78960,True
Dhing,Anita Bora,Asom Gana Parishad,15454,156,15610,8.58,181842,15610,78960,False
Dhing,Sunil Menon,Indian National Congress,8099,81,8180,4.5,181842,8180,78960,False
Dhing,Manoj Sen,None of the Above,6240,63,6303,3.47,181842,6303,78960,False
Dhing,Deepa Sharma,All India United Democratic Front,2719,27,2746,1.51,181842,2746,78960,False
Dhing,Priya Patel,Independent,646,6,652,0.36,181842,652,78960,False
Rupohihat,Sanjay Gogoi,Bharatiya Janata Party,81329,821,82150,34.68,236906,82150,82150,True
Rupohihat,Suresh Gogoi,Indian National Congress,36882,372,37254,15.73,236906,37254,82150,False
Rupohihat,Priya Nair,All India United Democratic Front,28224,285,28509,12.03,236906,28509,82150,False
Rupohihat,Kavita Nair,Asom Gana Parishad,21615,218,21833,9.22,236906,21833,82150,False
Rupohihat,Ramesh Gogoi,None of the Above,13139,132,13271,5.6,236906,13271,82150,False
Rupohihat,Ramesh Roy,Independent,3283,33,3316,1.4,236906,3316,82150,False
Kaliabor,Kavita Sharma,Bharatiya Janata Party,77663,784,78447,39.37,199258,78447,78447,True
Kaliabor,Manoj Das,Indian National Congress,34091,344,34435,17.28,199258,34435,78447,False
Kaliabor,Amit Nair,Asom Gana Parishad,30556,308,30864,15.49,199258,30864,78447,False
Kaliabor,Manoj Menon,All India United Democratic Front,15242,153,15395,7.73,199258,15395,78447,False
Kaliabor,Anjali Roy,None of the Above,6863,69,6932,3.48,199258,6932,78447,False
Kaliabor,Sanjay Reddy,Independent,192,1,193,0.1,199258,193,78447,False
Samaguri,Ramesh Roy,Bharatiya Janata Party,59312,599,59911,31.23,191847,59911,59911,True
Samaguri,Ramesh Gogoi,Asom Gana Parishad,43934,443,44377,23.13,191847,44377,59911,False
Samaguri,Rahul Nair,Indian National Congress,42596,430,43026,22.43,191847,43026,59911,False
Samaguri,Sanjay Nair,All India United Democratic Front,17112,172,17284,9.01,191847,17284,59911,False
Samaguri,Deepa Bora,None of the Above,5455,55,5510,2.87,191847,5510,59911,False
Samaguri,Rahul Roy,Independent,2424,24,2448,1.28,191847,2448,59911,False
Barhampur,Suresh Kumar,Bharatiya Janata Party,50208,507,50715,31.07,163223,50715,50715,True
Barhampur,Sanjay Singh,All India United Democratic Front,32773,331,33104,20.28,163223,33104,50715,False
Barhampur,Sunil Menon,Asom Gana Parishad,22832,230,23062,14.13,163223,23062,50715,False
Barhampur,Amit Singh,Indian National Congress,22541,227,22768,13.95,163223,22768,50715,False
Barhampur,Manoj Singh,None of the Above,8756,88,8844,5.42,163223,8844,50715,False
Barhampur,Priya Reddy,Independent,4779,48,4827,2.96,163223,4827,50715,False
Nagaon–Batadraba,Anjali Gogoi,Bharatiya Janata Party,77832,786,78618,33.83,232424,78618,78618,True
Nagaon–Batadraba,Amit Nair,Asom Gana Parishad,40955,413,41368,17.8,232424,41368,78618,False
Nagaon–Batadraba,Deepa Menon,All India United Democratic Front,26076,263,26339,11.33,232424,26339,78618,False
Nagaon–Batadraba,Suresh Singh,None of the Above,9236,93,9329,4.01,232424,9329,78618,False
Nagaon–Batadraba,Amit Bora,Indian National Congress,4523,45,4568,1.97,232424,4568,78618,False
Nagaon–Batadraba,Deepa Kumar,Independent,959,9,968,0.42,232424,968,78618,False
Raha,Amit Roy,Asom Gana Parishad,79230,800,80030,33.32,240159,80030,80030,True
Raha,Anjali Menon,Bharatiya Janata Party,61901,625,62526,26.04,240159,62526,80030,False
Raha,Sanjay Nair,Indian National Congress,22521,227,22748,9.47,240159,22748,80030,False
Raha,Suresh Bora,None of the Above,17528,177,17705,7.37,240159,17705,80030,False
Raha,Anita Nair,All India United Democratic Front,11697,118,11815,4.92,240159,11815,80030,False
Raha,Manoj Sen,Independent,2657,26,2683,1.12,240159,2683,80030,False
Binnakandi,Amit Nair,Asom Gana Parishad,54205,547,54752,29.72,184217,54752,54752,True
Binnakandi,Kavita Patel,Bharatiya Janata Party,49318,498,49816,27.04,184217,49816,54752,False
Binnakandi,Rahul Roy,None of the Above,20268,204,20472,11.11,184217,20472,54752,False
Binnakandi,Sunil Sharma,Independent,3889,39,3928,2.13,184217,3928,54752,False
Binnakandi,Anjali Menon,All India United Democratic Front,1845,18,1863,1.01,184217,1863,54752,False
Binnakandi,Amit Menon,Indian National Congress,1140,11,1151,0.62,184217,1151,54752,False
Hojai,Manoj Patel,Asom Gana Parishad,59436,600,60036,27.51,218261,60036,60036,True
Hojai,Suresh Singh,Indian National Congress,54402,549,54951,25.18,218261,54951,60036,False
Hojai,Anjali Sharma,Bharatiya Janata Party,33739,340,34079,15.61,218261,34079,60036,False
Hojai,Amit Menon,All India United Democratic Front,25938,262,26200,12.0,218261,26200,60036,False
Hojai,Ramesh Das,None of the Above,14096,142,14238,6.52,218261,14238,60036,False
Hojai,Anjali Menon,Independent,1006,10,1016,0.47,218261,1016,60036,False
Lumding,Kavita Roy,Indian National Congress,43372,438,43810,26.79,163520,43810,43810,True
Lumding,Priya Gogoi,Bharatiya Janata Party,40056,404,40460,24.74,163520,40460,43810,False
Lumding,Suresh Singh,Asom Gana Parishad,18278,184,18462,11.29,163520,18462,43810,False
Lumding,Suresh Roy,None of the Above,10758,108,10866,6.65,163520,10866,43810,False
Lumding,Deepa Reddy,All India United Democratic Front,9555,96,9651,5.9,163520,9651,43810,False
Lumding,Suresh Gogoi,Independent,882,8,890,0.54,163520,890,43810,False
Dhekiajuli,Deepa Menon,Bharatiya Janata Party,55504,560,56064,29.8,188134,56064,56064,True
Dhekiajuli,Rahul Kumar,Asom Gana Parishad,43004,434,43438,23.09,188134,43438,56064,False
Dhekiajuli,Manoj Das,All India United Democratic Front,26711,269,26980,14.34,188134,26980,56064,False
Dhekiajuli,Sunil Sharma,Indian National Congress,22936,231,23167,12.31,188134,23167,56064,False
Dhekiajuli,Priya Singh,None of the Above,8354,84,8438,4.49,188134,8438,56064,False
Dhekiajuli,Suresh Das,Independent,2810,28,2838,1.51,188134,2838,56064,False
Barchalla,Rahul Kumar,Asom Gana Parishad,50673,511,51184,24.39,209851,51184,51184,True
Barchalla,Kavita Nair,All India United Democratic Front,46013,464,46477,22.15,209851,46477,51184,False
Barchalla,Anita Sharma,Bharatiya Janata Party,43937,443,44380,21.15,209851,44380,51184,False
Barchalla,Sanjay Menon,Indian National Congress,17349,175,17524,8.35,209851,17524,51184,False
Barchalla,Anita Roy,None of the Above,14850,150,15000,7.15,209851,15000,51184,False
Barchalla,Rahul Singh,Independent,3662,36,3698,1.76,209851,3698,51184,False
Tezpur,Rahul Sen,Bharatiya Janata Party,103049,1040,104089,41.77,249210,104089,104089,True
Tezpur,Ramesh Nair,Indian National Congress,54795,553,55348,22.21,249210,55348,104089,False
Tezpur,Sanjay Kumar,Asom Gana Parishad,28302,285,28587,11.47,249210,28587,104089,False
Tezpur,Priya Roy,None of the Above,13552,136,13688,5.49,249210,13688,104089,False
Tezpur,Deepa Roy,All India United Democratic Front,10890,109,10999,4.41,249210,10999,104089,False
Tezpur,Amit Kumar,Independent,1182,11,1193,0.48,249210,1193,104089,False
Rangapara,Priya Bora,Asom Gana Parishad,81316,821,82137,35.23,233152,82137,82137,True
Rangapara,Suresh Roy,Bharatiya Janata Party,44954,454,45408,19.48,233152,45408,82137,False
Rangapara,Manoj Kumar,Indian National Congress,25963,262,26225,11.25,233152,26225,82137,False
Rangapara,Deepa Sen,All India United Democratic Front,9058,91,9149,3.92,233152,9149,82137,False
Rangapara,Manoj Gogoi,None of the Above,8012,80,8092,3.47,233152,8092,82137,False
Rangapara,Suresh Sen,Independent,3357,33,3390,1.45,233152,3390,82137,False
Nadaur,Rahul Bora,Bharatiya Janata Party,56066,566,56632,28.49,198757,56632,56632,True
Nadaur,Sunil Gogoi,Asom Gana Parishad,41425,418,41843,21.05,198757,41843,56632,False
Nadaur,Kavita Sharma,None of the Above,31271,315,31586,15.89,198757,31586,56632,False
Nadaur,Anita Singh,All India United Democratic Front,21952,221,22173,11.16,198757,22173,56632,False
Nadaur,Kavita Das,Indian National Congress,11563,116,11679,5.88,198757,11679,56632,False
Nadaur,Sanjay Menon,Independent,421,4,425,0.21,198757,425,56632,False
Biswanath,Anita Singh,Bharatiya Janata Party,84396,852,85248,44.77,190432,85248,85248,True
Biswanath,Kavita Nair,Asom Gana Parishad,27163,274,27437,14.41,190432,27437,85248,False
Biswanath,Anita Bora,All India United Democratic Front,25379,256,25635,13.46,190432,25635,85248,False
Biswanath,Sanjay Sen,Indian National Congress,24672,249,24921,13.09,190432,24921,85248,False
Biswanath,Sanjay Menon,Independent,3097,31,3128,1.64,190432,3128,85248,False
Biswanath,Suresh Singh,None of the Above,932,9,941,0.49,190432,941,85248,False
Behali,Anjali Roy,Bharatiya Janata Party,60004,606,60610,28.23,214733,60610,60610,True
Behali,Priya Kumar,Asom Gana Parishad,39400,397,39797,18.53,214733,39797,60610,False
Behali,Amit Das,All India United Democratic Front,30868,311,31179,14.52,214733,31179,60610,False
Behali,Rahul Singh,None of the Above,28809,291,29100,13.55,214733,29100,60610,False
Behali,Sanjay Gogoi,Indian National Congress,17134,173,17307,8.06,214733,17307,60610,False
Behali,Priya Gogoi,Independent,697,7,704,0.33,214733,704,60610,False
Gohpur,Manoj Singh,Bharatiya Janata Party,55202,557,55759,29.92,186339,55759,55759,True
Gohpur,Ramesh Sharma,Asom Gana Parishad,39295,396,39691,21.3,186339,39691,55759,False
Gohpur,Deepa Roy,Indian National Congress,37133,375,37508,20.13,186339,37508,55759,False
Gohpur,Deepa Menon,None of the Above,2689,27,2716,1.46,186339,2716,55759,False
Gohpur,Suresh Reddy,Independent,2299,23,2322,1.25,186339,2322,55759,False
Gohpur,Amit Singh,All India United Democratic Front,307,3,310,0.17,186339,310,55759,False
Bihpuria,Kavita Sen,Bharatiya Janata Party,116409,1175,117584,49.75,236365,117584,117584,True
Bihpuria,Rahul Kumar,Asom Gana Parishad,46294,467,46761,19.78,236365,46761,117584,False
Bihpuria,Anjali Singh,Indian National Congress,22419,226,22645,9.58,236365,22645,117584,False
Bihpuria,Rahul Singh,All India United Democratic Front,9496,95,9591,4.06,236365,9591,117584,False
Bihpuria,Sanjay Roy,Independent,4498,45,4543,1.92,236365,4543,117584,False
Bihpuria,Anita Nair,None of the Above,982,9,991,0.42,236365,991,117584,False
Rongonadi,Rahul Kumar,Asom Gana Parishad,73781,745,74526,32.7,227918,74526,74526,True
Rongonadi,Anjali Das,All India United Democratic Front,39456,398,39854,17.49,227918,39854,74526,False
Rongonadi,Amit Kumar,Bharatiya Janata Party,16150,163,16313,7.16,227918,16313,74526,False
Rongonadi,Anita Sharma,None of the Above,12797,129,12926,5.67,227918,12926,74526,False
Rongonadi,Deepa Roy,Indian National Congress,12657,127,12784,5.61,227918,12784,74526,False
Rongonadi,Deepa Menon,Independent,3277,33,3310,1.45,227918,3310,74526,False
Naoboicha,Priya Menon,Asom Gana Parishad,93877,948,94825,39.18,242034,94825,94825,True
Naoboicha,Deepa Roy,Bharatiya Janata Party,47464,479,47943,19.81,242034,47943,94825,False
Naoboicha,Rahul Sen,All India United Democratic Front,26160,264,26424,10.92,242034,26424,94825,False
Naoboicha,Kavita Bora,Indian National Congress,18433,186,18619,7.69,242034,18619,94825,False
Naoboicha,Manoj Das,None of the Above,8053,81,8134,3.36,242034,8134,94825,False
Naoboicha,Sunil Menon,Independent,1957,19,1976,0.82,242034,1976,94825,False
Lakhimpur,Sanjay Sharma,Asom Gana Parishad,92721,936,93657,45.31,206714,93657,93657,True
Lakhimpur,Suresh Kumar,None of the Above,18098,182,18280,8.84,206714,18280,93657,False
Lakhimpur,Suresh Gogoi,Bharatiya Janata Party,17977,181,18158,8.78,206714,18158,93657,False
Lakhimpur,Manoj Bora,All India United Democratic Front,11570,116,11686,5.65,206714,11686,93657,False
Lakhimpur,Manoj Gogoi,Independent,2623,26,2649,1.28,206714,2649,93657,False
Lakhimpur,Sanjay Das,Indian National Congress,1286,12,1298,0.63,206714,1298,93657,False
Dhakuakhana,Suresh Kumar,Indian National Congress,83916,847,84763,37.19,227929,84763,84763,True
Dhakuakhana,Anita Roy,All India United Democratic Front,36897,372,37269,16.35,227929,37269,84763,False
Dhakuakhana,Priya Menon,Bharatiya Janata Party,27473,277,27750,12.17,227929,27750,84763,False
Dhakuakhana,Deepa Sharma,None of the Above,11461,115,11576,5.08,227929,11576,84763,False
Dhakuakhana,Priya Sen,Asom Gana Parishad,6557,66,6623,2.91,227929,6623,84763,False
Dhakuakhana,Ramesh Kumar,Independent,2622,26,2648,1.16,227929,2648,84763,False
Dhemaji,Suresh Sharma,Indian National Congress,52342,528,52870,22.67,233192,52870,52870,True
Dhemaji,Ramesh Reddy,Bharatiya Janata Party,51719,522,52241,22.4,233192,52241,52870,False
Dhemaji,Ramesh Kumar,All India United Democratic Front,40699,411,41110,17.63,233192,41110,52870,False
Dhemaji,Amit Sen,Asom Gana Parishad,39992,403,40395,17.32,233192,40395,52870,False
Dhemaji,Priya Sen,Independent,4114,41,4155,1.78,233192,4155,52870,False
Dhemaji,Anita Sen,None of the Above,3044,30,3074,1.32,233192,3074,52870,False
Sissiborgaon,Priya Nair,Asom Gana Parishad,44162,446,44608,23.49,189864,44608,44608,True
Sissiborgaon,Rahul Nair,Indian National Congress,27557,278,27835,14.66,189864,27835,44608,False
Sissiborgaon,Suresh Menon,Bharatiya Janata Party,27009,272,27281,14.37,189864,27281,44608,False
Sissiborgaon,Rahul Reddy,All India United Democratic Front,17526,177,17703,9.32,189864,17703,44608,False
Sissiborgaon,Anita Menon,None of the Above,10646,107,10753,5.66,189864,10753,44608,False
Sissiborgaon,Manoj Reddy,Independent,3847,38,3885,2.05,189864,3885,44608,False
Jonai,Deepa Menon,All India United Democratic Front,48116,486,48602,27.47,176908,48602,48602,True
Jonai,Sunil Gogoi,None of the Above,34703,350,35053,19.81,176908,35053,48602,False
Jonai,Manoj Das,Bharatiya Janata Party,34015,343,34358,19.42,176908,34358,48602,False
Jonai,Anjali Reddy,Indian National Congress,6323,63,6386,3.61,176908,6386,48602,False
Jonai,Anita Gogoi,Asom Gana Parishad,5276,53,5329,3.01,176908,5329,48602,False
Jonai,Priya Gogoi,Independent,2677,27,2704,1.53,176908,2704,48602,False
Sadiya,Anita Nair,Indian National Congress,48996,494,49490,26.32,188021,49490,49490,True
Sadiya,Anita Sen,Bharatiya Janata Party,41252,416,41668,22.16,188021,41668,49490,False
Sadiya,Anjali Kumar,Asom Gana Parishad,27385,276,27661,14.71,188021,27661,49490,False
Sadiya,Deepa Roy,All India United Democratic Front,21649,218,21867,11.63,188021,21867,49490,False
Sadiya,Sanjay Gogoi,None of the Above,18805,189,18994,10.1,188021,18994,49490,False
Sadiya,Amit Menon,Independent,4812,48,4860,2.58,188021,4860,49490,False
Doom Dooma,Ramesh Kumar,Bharatiya Janata Party,34817,351,35168,18.11,194234,35168,35168,True
Doom Dooma,Kavita Singh,All India United Democratic Front,25900,261,26161,13.47,194234,26161,35168,False
Doom Dooma,Anita Reddy,None of the Above,24061,243,24304,12.51,194234,24304,35168,False
Doom Dooma,Anjali Singh,Indian National Congress,15979,161,16140,8.31,194234,16140,35168,False
Doom Dooma,Kavita Kumar,Asom Gana Parishad,13557,136,13693,7.05,194234,13693,35168,False
Doom Dooma,Deepa Patel,Independent,1175,11,1186,0.61,194234,1186,35168,False
Margherita,Suresh Roy,Bharatiya Janata Party,97187,981,98168,45.68,214920,98168,98168,True
Margherita,Manoj Menon,Indian National Congress,37656,380,38036,17.7,214920,38036,98168,False
Margherita,Manoj Reddy,All India United Democratic Front,25581,258,25839,12.02,214920,25839,98168,False
Margherita,Anjali Sharma,Asom Gana Parishad,17513,176,17689,8.23,214920,17689,98168,False
Margherita,Priya Patel,None of the Above,5461,55,5516,2.57,214920,5516,98168,False
Margherita,Suresh Roy,Independent,2817,28,2845,1.32,214920,2845,98168,False
Digboi,Sunil Sharma,Bharatiya Janata Party,68240,689,68929,43.75,157558,68929,68929,True
Digboi,Priya Das,None of the Above,15966,161,16127,10.24,157558,16127,68929,False
Digboi,Anita Roy,Asom Gana Parishad,15621,157,15778,10.01,157558,15778,68929,False
Digboi,Anita Kumar,All India United Democratic Front,5209,52,5261,3.34,157558,5261,68929,False
Digboi,Rahul Das,Independent,1934,19,1953,1.24,157558,1953,68929,False
Digboi,Manoj Das,Indian National Congress,1186,11,1197,0.76,157558,1197,68929,False
Makum,Rahul Reddy,Indian National Congress,83756,846,84602,34.12,247926,84602,84602,True
Makum,Amit Gogoi,Asom Gana Parishad,37137,375,37512,15.13,247926,37512,84602,False
Makum,Anita Patel,None of the Above,33577,339,33916,13.68,247926,33916,84602,False
Makum,Amit Menon,All India United Democratic Front,29273,295,29568,11.93,247926,29568,84602,False
Makum,Sanjay Menon,Bharatiya Janata Party,9680,97,9777,3.94,247926,9777,84602,False
Makum,Anjali Sen,Independent,3116,31,3147,1.27,247926,3147,84602,False
Tinsukia,Anjali Gogoi,Bharatiya Janata Party,103391,1044,104435,42.72,244474,104435,104435,True
Tinsukia,Kavita Gogoi,Asom Gana Parishad,48551,490,49041,20.06,244474,49041,104435,False
Tinsukia,Deepa Sen,All India United Democratic Front,32067,323,32390,13.25,244474,32390,104435,False
Tinsukia,Rahul Singh,Indian National Congress,19375,195,19570,8.0,244474,19570,104435,False
Tinsukia,Amit Kumar,None of the Above,13499,136,13635,5.58,244474,13635,104435,False
Tinsukia,Kavita Gogoi,Independent,1069,10,1079,0.44,244474,1079,104435,False
Chabua–Lahowal,Amit Bora,Bharatiya Janata Party,60818,614,61432,27.24,225547,61432,61432,True
Chabua–Lahowal,Amit Sen,All India United Democratic Front,50441,509,50950,22.59,225547,50950,61432,False
Chabua–Lahowal,Deepa Patel,Asom Gana Parishad,34003,343,34346,15.23,225547,34346,61432,False
Chabua–Lahowal,Sunil Kumar,None of the Above,13947,140,14087,6.25,225547,14087,61432,False
Chabua–Lahowal,Manoj Patel,Indian National Congress,11801,119,11920,5.28,225547,11920,61432,False
Chabua–Lahowal,Rahul Sen,Independent,2977,30,3007,1.33,225547,3007,61432,False
Dibrugarh,Kavita Nair,All India United Democratic Front,92517,934,93451,38.64,241830,93451,93451,True
Dibrugarh,Amit Bora,Bharatiya Janata Party,26027,262,26289,10.87,241830,26289,93451,False
Dibrugarh,Amit Menon,Indian National Congress,17342,175,17517,7.24,241830,17517,93451,False
Dibrugarh,Rahul Menon,None of the Above,6952,70,7022,2.9,241830,7022,93451,False
Dibrugarh,Sunil Das,Asom Gana Parishad,4693,47,4740,1.96,241830,4740,93451,False
Dibrugarh,Sunil Sen,Independent,2103,21,2124,0.88,241830,2124,93451,False
Khowang,Anita Singh,Asom Gana Parishad,88058,889,88947,42.03,211604,88947,88947,True
Khowang,Amit Gogoi,Indian National Congress,38525,389,38914,18.39,211604,38914,88947,False
Khowang,Deepa Reddy,All India United Democratic Front,30288,305,30593,14.46,211604,30593,88947,False
Khowang,Kavita Menon,Bharatiya Janata Party,13297,134,13431,6.35,211604,13431,88947,False
Khowang,Ramesh Singh,None of the Above,4050,40,4090,1.93,211604,4090,88947,False
Khowang,Anita Kumar,Independent,1028,10,1038,0.49,211604,1038,88947,False
Duliajan,Rahul Sen,Asom Gana Parishad,68409,691,69100,38.31,180371,69100,69100,True
Duliajan,Sanjay Menon,Indian National Congress,21098,213,21311,11.82,180371,21311,69100,False
Duliajan,Anita Singh,All India United Democratic Front,12285,124,12409,6.88,180371,12409,69100,False
Duliajan,Anjali Patel,Bharatiya Janata Party,11839,119,11958,6.63,180371,11958,69100,False
Duliajan,Priya Reddy,None of the Above,5696,57,5753,3.19,180371,5753,69100,False
Duliajan,Kavita Patel,Independent,2401,24,2425,1.34,180371,2425,69100,False
Tingkhong,Amit Kumar,Bharatiya Janata Party,64293,649,64942,36.62,177345,64942,64942,True
Tingkhong,Ramesh Patel,All India United Democratic Front,32570,328,32898,18.55,177345,32898,64942,False
Tingkhong,Sunil Reddy,Indian National Congress,28494,287,28781,16.23,177345,28781,64942,False
Tingkhong,Sanjay Bora,None of the Above,5982,60,6042,3.41,177345,6042,64942,False
Tingkhong,Ramesh Nair,Asom Gana Parishad,2303,23,2326,1.31,177345,2326,64942,False
Tingkhong,Kavita Bora,Independent,213,2,215,0.12,177345,215,64942,False
Naharkatia,Ramesh Nair,Asom Gana Parishad,67176,678,67854,33.51,202491,67854,67854,True
Naharkatia,Manoj Roy,Bharatiya Janata Party,35172,355,35527,17.54,202491,35527,67854,False
Naharkatia,Amit Gogoi,Indian National Congress,25451,257,25708,12.7,202491,25708,67854,False
Naharkatia,Sanjay Sharma,All India United Democratic Front,24467,247,24714,12.2,202491,24714,67854,False
Naharkatia,Suresh Das,None of the Above,15164,153,15317,7.56,202491,15317,67854,False
Naharkatia,Rahul Sen,Independent,4554,46,4600,2.27,202491,4600,67854,False
Sonari,Sanjay Bora,Indian National Congress,41723,421,42144,26.8,157256,42144,42144,True
Sonari,Kavita Patel,Bharatiya Janata Party,41216,416,41632,26.47,157256,41632,42144,False
Sonari,Rahul Kumar,All India United Democratic Front,22927,231,23158,14.73,157256,23158,42144,False
Sonari,Anjali Singh,None of the Above,11024,111,11135,7.08,157256,11135,42144,False
Sonari,Sunil Patel,Asom Gana Parishad,3623,36,3659,2.33,157256,3659,42144,False
Sonari,Anjali Kumar,Independent,2839,28,2867,1.82,157256,2867,42144,False
Mahmora,Suresh Gogoi,Indian National Congress,46482,469,46951,20.01,234649,46951,46951,True
Mahmora,Anita Sen,Asom Gana Parishad,43439,438,43877,18.7,234649,43877,46951,False
Mahmora,Rahul Menon,Bharatiya Janata Party,16769,169,16938,7.22,234649,16938,46951,False
Mahmora,Sunil Patel,None of the Above,7896,79,7975,3.4,234649,7975,46951,False
Mahmora,Ramesh Patel,All India United Democratic Front,5525,55,5580,2.38,234649,5580,46951,False
Mahmora,Amit Sharma,Independent,4495,45,4540,1.93,234649,4540,46951,False
Demow,Manoj Bora,Indian National Congress,46379,468,46847,30.56,153306,46847,46847,True
Demow,Sanjay Gogoi,Bharatiya Janata Party,41515,419,41934,27.35,153306,41934,46847,False
Demow,Suresh Gogoi,Asom Gana Parishad,13267,134,13401,8.74,153306,13401,46847,False
Demow,Priya Patel,All India United Democratic Front,3686,37,3723,2.43,153306,3723,46847,False
Demow,Sunil Reddy,None of the Above,1971,19,1990,1.3,153306,1990,46847,False
Demow,Amit Sen,Independent,925,9,934,0.61,153306,934,46847,False
Sibsagar,Ramesh Reddy,Indian National Congress,79338,801,80139,32.78,244446,80139,80139,True
Sibsagar,Sanjay Nair,All India United Democratic Front,50132,506,50638,20.72,244446,50638,80139,False
Sibsagar,Anjali Bora,Bharatiya Janata Party,23984,242,24226,9.91,244446,24226,80139,False
Sibsagar,Amit Bora,Asom Gana Parishad,18687,188,18875,7.72,244446,18875,80139,False
Sibsagar,Ramesh Reddy,None of the Above,9722,98,9820,4.02,244446,9820,80139,False
Sibsagar,Ramesh Roy,Independent,1367,13,1380,0.56,244446,1380,80139,False
Nazira,Amit Patel,Asom Gana Parishad,57767,583,58350,28.98,201375,58350,58350,True
Nazira,Rahul Sen,None of the Above,35043,353,35396,17.58,201375,35396,58350,False
Nazira,Sunil Menon,Bharatiya Janata Party,19045,192,19237,9.55,201375,19237,58350,False
Nazira,Anjali Roy,All India United Democratic Front,11899,120,12019,5.97,201375,12019,58350,False
Nazira,Priya Kumar,Indian National Congress,9027,91,9118,4.53,201375,9118,58350,False
Nazira,Deepa Patel,Independent,1366,13,1379,0.68,201375,1379,58350,False
Majuli,Anjali Roy,Bharatiya Janata Party,74887,756,75643,42.64,177384,75643,75643,True
Majuli,Sunil Patel,Asom Gana Parishad,35101,354,35455,19.99,177384,35455,75643,False
Majuli,Anita Nair,None of the Above,17063,172,17235,9.72,177384,17235,75643,False
Majuli,Kavita Gogoi,All India United Democratic Front,8949,90,9039,5.1,177384,9039,75643,False
Majuli,Deepa Bora,Indian National Congress,4104,41,4145,2.34,177384,4145,75643,False
Majuli,Sunil Gogoi,Independent,1056,10,1066,0.6,177384,1066,75643,False
Teok,Ramesh Sen,Asom Gana Parishad,106195,1072,107267,46.44,230956,107267,107267,True
Teok,Rahul Kumar,Indian National Congress,35769,361,36130,15.64,230956,36130,107267,False
Teok,Anita Singh,None of the Above,29065,293,29358,12.71,230956,29358,107267,False
Teok,Kavita Das,Bharatiya Janata Party,10841,109,10950,4.74,230956,10950,107267,False
Teok,Rahul Roy,All India United Democratic Front,6745,68,6813,2.95,230956,6813,107267,False
Teok,Anita Kumar,Independent,3745,37,3782,1.64,230956,3782,107267,False
Jorhat,Sunil Sen,Indian National Congress,50380,508,50888,28.99,175542,50888,50888,True
Jorhat,Deepa Das,Bharatiya Janata Party,38809,392,39201,22.33,175542,39201,50888,False
Jorhat,Rahul Bora,Asom Gana Parishad,26090,263,26353,15.01,175542,26353,50888,False
Jorhat,Anita Kumar,All India United Democratic Front,16993,171,17164,9.78,175542,17164,50888,False
Jorhat,Kavita Nair,Independent,3233,32,3265,1.86,175542,3265,50888,False
